S1;S2;S3
450;366;382
435;372;389
441;368;378
448;371;381
442;371;372
432;370;360
438;368;380
438;372;377
465;367;358
424;349;348
433;356;375
427;367;364
427;368;365
419;369;381
458;362;379
447;357;349
428;370;366
441;366;379
430;371;366
443;369;368
452;369;363
425;234;360
442;356;377
428;365;373
460;355;353
413;366;370
444;370;349
430;322;338
440;356;338
440;338;348
442;320;364
436;370;339
434;372;364
427;370;359
425;354;331
423;341;346
443;364;344
436;361;380
437;363;361
421;359;366
423;364;353
448;306;340
426;365;313
447;358;386
439;327;331
434;365;377
439;302;320
458;252;276
442;351;313
425;338;355
438;306;306
435;323;324
442;305;227
434;284;284
441;367;355
440;372;328
429;363;352
426;322;312
421;339;350
435;334;299
419;284;305
429;304;339
441;353;314
426;202;272
419;364;384
443;371;352
443;339;253
437;273;311
430;309;285
446;327;290
447;316;285
434;293;305
438;362;343
425;172;292
439;209;194
438;360;265
421;239;221
432;261;268
445;315;282
427;235;255
425;332;296
428;355;298
422;311;300
443;323;303
456;358;259
421;299;296
428;157;197
409;309;280
427;299;229
427;239;212
462;255;209
416;325;219
419;230;162
413;255;212
492;255;255
419;237;255
445;230;252
416;252;233
400;199;268
425;309;285
444;265;246
406;160;217
379;224;179
394;225;215
389;224;234
403;215;207
432;197;292
442;242;191
426;284;246
422;205;223
379;188;213
346;262;173
437;245;235
434;244;191
430;329;252
421;323;210
389;205;248
436;297;252
417;269;246
442;266;220
402;278;274
415;302;246
437;275;256
434;242;247
427;288;259
448;253;271
415;264;245
390;267;240
425;254;241
421;203;202
419;249;272
379;252;255
388;338;258
392;238;208
350;187;212
