S1;S2;S3
432;374;404
423;374;399
433;374;389
456;388;388
427;378;402
442;370;392
424;378;397
438;370;402
457;374;389
460;377;387
436;377;387
439;384;397
427;370;381
428;370;405
435;374;391
435;365;386
430;372;384
436;370;415
432;377;397
435;376;390
425;373;391
458;366;389
433;370;392
438;378;399
415;368;403
421;373;399
421;372;406
425;378;394
420;375;394
435;365;394
432;369;406
429;366;386
435;375;394
430;369;388
421;377;383
439;369;390
415;371;387
425;370;385
418;371;390
449;378;389
430;370;392
441;368;388
422;368;392
437;369;396
437;375;394
418;374;398
431;373;400
419;373;392
414;376;395
424;370;395
447;370;385
439;377;394
432;377;402
431;376;390
421;376;389
432;374;394
409;376;392
418;368;395
408;384;399
432;367;391
425;382;388
428;378;391
442;378;392
436;378;395
438;378;391
433;370;383
449;372;394
422;377;392
412;372;386
432;368;380
421;376;382
442;376;374
436;377;385
410;367;396
419;375;391
422;380;388
424;374;402
412;370;400
425;368;385
434;378;376
426;377;400
426;375;387
438;375;397
445;370;394
437;370;385
432;371;391
438;380;395
438;373;388
428;371;394
432;373;389
426;368;385
429;376;388
428;375;395
440;370;379
424;370;389
438;369;397
425;370;387
431;380;392
405;374;398
438;376;399
410;376;399
430;373;392
424;373;389
425;383;384
438;376;395
419;366;399
425;366;387
422;362;390
420;377;387
438;372;386
423;370;395
426;376;391
441;367;394
442;373;390
428;369;390
419;370;383
432;372;379
438;371;385
430;370;399
413;370;393
426;378;389
423;374;387
435;370;400
412;370;386
434;376;395
426;373;382
430;374;399
419;368;379
425;367;393
423;366;397
438;376;387
415;381;387
447;369;388
422;367;425
425;373;392
438;368;376
424;377;391
438;373;385
417;376;385
424;370;384
444;378;390
432;370;385
431;376;403
441;369;392
434;362;390
458;377;405
431;365;388
430;371;385
434;369;378
427;375;394
425;372;392
419;363;382
434;378;392
425;376;382
431;375;394
434;370;383
434;365;399
426;368;391
430;374;390
431;368;390
432;370;391
458;367;358
425;370;398
424;366;395
429;368;393
440;370;402
423;376;392
432;363;393
434;369;401
413;365;398
424;370;403
433;378;381
425;369;381
435;367;417
433;371;381
417;365;384
426;362;383
445;365;374
432;367;392
443;376;385
425;381;390
426;354;380
432;370;381
423;380;388
428;375;390
439;369;391
431;369;379
416;380;385
436;378;396
428;374;389
435;367;396
436;369;387
425;368;415
433;371;385
446;368;379
438;374;388
425;378;392
444;364;387
445;375;388
431;375;394
432;373;399
432;370;381
406;375;399
429;378;388
405;379;386
420;375;392
444;362;390
425;371;392
444;371;390
443;375;396
422;380;391
430;373;372
445;371;399
426;370;385
425;378;393
424;373;397
435;370;396
430;378;388
412;374;399
434;369;396
427;372;393
439;370;390
410;371;383
414;372;394
437;373;403
424;381;395
422;369;393
424;374;393
418;371;390
432;377;402
413;370;393
425;375;383
431;370;389
434;378;395
424;370;391
423;376;392
432;374;396
433;366;383
425;380;390
436;368;379
434;374;385
423;367;384
420;378;365
433;376;397
424;377;398
429;371;392
430;370;395
442;367;399
420;371;411
419;372;385
419;370;401
428;367;388
426;380;413
427;370;426
446;370;405
448;391;412
427;373;397
418;381;351
435;367;398
432;375;362
432;363;348
435;369;399
429;371;423
435;370;423
418;367;393
421;369;386
440;386;394
415;381;400
430;369;399
440;362;388
433;371;405
438;374;400
420;370;401
443;365;406
439;374;392
430;378;415
422;372;404
427;367;399
437;378;405
425;362;419
425;368;428
432;376;416
423;370;422
424;369;415
429;380;423
424;378;428
439;377;425
432;386;430
427;370;433
421;379;425
445;379;405
