S1;S2;S3
423;369;354
441;363;400
429;352;372
431;361;352
440;319;357
432;360;369
430;357;378
430;369;368
420;323;344
431;356;354
426;355;331
442;370;351
438;358;345
432;352;305
424;361;353
427;369;372
430;377;361
445;355;384
427;370;359
434;360;357
422;367;339
434;330;350
430;362;328
449;384;304
413;368;356
430;374;345
429;358;363
418;347;303
412;346;332
431;246;327
421;339;284
431;364;361
419;360;361
437;319;285
427;337;313
447;364;375
422;372;372
419;368;325
437;357;314
424;348;272
428;306;271
435;310;291
431;299;312
429;345;339
425;316;331
430;368;320
432;360;339
417;346;228
418;347;302
426;271;263
440;370;359
412;349;304
445;370;352
423;361;345
416;304;299
419;291;259
430;327;240
455;298;315
436;331;290
433;285;265
444;285;292
428;371;372
432;272;266
432;362;312
439;369;337
449;284;239
436;330;297
441;362;358
432;332;352
414;300;285
437;342;347
420;304;250
429;362;261
412;230;294
425;331;242
425;359;347
438;307;325
437;302;315
425;344;315
429;234;272
437;287;292
411;353;334
429;368;377
432;305;309
419;328;315
419;318;290
413;321;280
422;275;312
424;361;352
432;318;325
405;223;265
425;287;288
430;340;376
414;318;295
436;370;365
448;362;342
438;330;341
437;351;347
416;234;255
428;299;255
437;387;345
420;347;310
425;292;333
432;313;323
432;333;344
425;377;362
434;375;329
441;220;296
445;359;310
440;321;317
425;315;299
438;362;379
416;374;388
433;360;297
431;319;321
420;304;285
426;292;230
425;317;358
422;368;343
429;362;329
445;368;383
448;362;353
441;351;385
435;342;291
