S1;S2;S3
419;362;373
432;364;392
429;370;379
424;362;385
433;372;383
423;361;369
437;352;345
417;339;390
442;362;380
434;364;327
425;368;379
438;361;319
439;364;385
425;365;384
449;365;392
421;359;384
438;364;370
433;369;392
435;361;355
424;355;372
434;371;396
411;362;329
433;360;390
423;364;312
432;364;376
430;362;392
429;365;375
437;365;385
433;368;384
429;365;378
447;354;375
428;359;347
423;366;390
433;363;359
428;367;380
445;360;376
413;351;389
427;359;377
419;359;389
429;357;326
427;350;353
444;362;389
430;370;386
439;370;382
409;378;376
436;364;361
438;356;374
424;361;391
430;363;387
432;367;385
428;362;393
425;365;391
422;356;396
422;377;352
426;362;379
434;364;335
429;363;379
425;358;373
430;355;330
429;361;396
420;365;372
412;322;318
434;369;357
448;351;375
434;380;379
451;354;329
442;362;354
428;369;377
450;365;383
452;362;327
430;363;356
445;360;386
440;359;380
428;360;350
437;358;373
448;368;381
441;363;396
425;353;394
449;364;366
423;345;400
433;349;365
439;362;382
443;367;392
456;362;389
442;363;376
438;352;360
454;362;361
449;356;379
444;357;379
466;353;372
439;364;378
438;361;357
445;359;393
445;370;345
448;361;375
442;359;385
425;357;382
442;364;359
441;355;382
438;355;376
436;357;375
451;370;374
439;377;370
439;359;327
432;355;296
445;343;289
449;361;379
449;365;362
456;370;390
446;353;345
440;356;332
435;352;339
419;365;369
432;315;313
452;365;393
438;360;329
424;340;314
446;365;379
439;363;394
433;350;363
429;362;367
429;353;293
434;364;290
424;355;351
442;374;384
445;358;380
432;325;318
452;368;385
434;364;346
429;347;377
444;345;349
429;361;379
446;365;304
446;355;349
432;367;383
430;353;355
437;362;386
437;367;381
